source,target,regex,code,type,hits,title,status
"/podcast-ep3/","https://angiecreates.io/podcast-ep3/",0,301,"url",0,"","active"
"/podcast-ep4/","https://angiecreates.io/podcast-ep4/",0,301,"url",0,"","active"
"/podcast-ep5/","https://angiecreates.io/podcast-ep5/",0,301,"url",0,"","active"
"/podcast-ep6/","https://angiecreates.io/podcast-ep6/",0,301,"url",0,"","active"
"/podcast-ep7/","https://angiecreates.io/podcast-ep7/",0,301,"url",0,"","active"
"/podcast-ep8/","https://angiecreates.io/podcast-ep8/",0,301,"url",0,"","active"
"/podcast-ep9/","https://angiecreates.io/podcast-ep9/",0,301,"url",0,"","active"
"/podcast-ep10/","https://angiecreates.io/podcast-ep10/",0,301,"url",0,"","active"
"/podcast-ep11/","https://angiecreates.io/podcast-ep11/",0,301,"url",0,"","active"
"/podcast-ep12/","https://angiecreates.io/podcast-ep12/",0,301,"url",0,"","active"
"/podcast-ep13/","https://angiecreates.io/podcast-ep13/",0,301,"url",0,"","active"
"/podcast-ep14/","https://angiecreates.io/podcast-ep14/",0,301,"url",0,"","active"
"/podcast-ep15/","https://angiecreates.io/podcast-ep15/",0,301,"url",0,"","active"
"/podcast-ep16/","https://angiecreates.io/podcast-ep16/",0,301,"url",0,"","active"
"/podcast-ep17/","https://angiecreates.io/podcast-ep17/",0,301,"url",0,"","active"
"/podcast-ep18/","https://angiecreates.io/podcast-ep18/",0,301,"url",0,"","active"
"/podcast-ep19/","https://angiecreates.io/podcast-ep19/",0,301,"url",0,"","active"
"/podcast-ep20/","https://angiecreates.io/podcast-ep20/",0,301,"url",0,"","active"
"/podcast-ep23/","https://angiecreates.io/podcast-ep23/",0,301,"url",0,"","active"
"/podcast-ep24/","https://angiecreates.io/podcast-ep24/",0,301,"url",0,"","active"
"/podcast-ep25/","https://angiecreates.io/podcast-ep25/",0,301,"url",0,"","active"
"/podcast-ep26/","https://angiecreates.io/podcast-ep26/",0,301,"url",0,"","active"
